Control Number,District,Street,Connection Type,2019_DEC,2020_JAN,2020_FEB,2020_MAR,2020_APR,2020_MAY,2020_JUN,2020_JUL,2020_AUG,2020_SEP,2020_OCT,2020_NOV,2020_DEC
0.0,,,,,,,,,,,,,,,,
50964.0,,,,,,,,,,,,,,,,
500002.0,District 4,Esparrago Street,Residential,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500003.0,District 4,Esparrago Street,Residential,9.0,7.0,11.0,36.0,18.0,16.0,11.0,1.0,2.0,4.0,0.0,35.0,9.0
500004.0,District 4,Esparrago Street,Residential,26.0,14.0,23.0,40.0,20.0,127.0,23.0,82.0,0.0,0.0,24.0,36.0,26.0
500005.0,District 4,Esparrago Street,Residential,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
500007.0,District 4,Esparrago Street,Residential,8.0,8.0,6.0,26.0,13.0,14.0,0.0,5.0,10.0,6.0,7.0,11.0,8.0
500008.0,District 2,Alicante Street,Residential,0.0,9.0,11.0,7.0,3.0,20.0,13.0,9.0,12.0,9.0,19.0,6.0,0.0
500009.0,District 4,Alicante Street,Residential,0.0,5.0,6.0,19.0,9.0,6.0,9.0,2.0,0.0,0.0,1.0,2.0,0.0
500010.0,District 4,Alicante Street,Residential,0.0,11.0,8.0,15.0,7.0,9.0,5.0,7.0,6.0,4.0,5.0,4.0,0.0
500011.0,District 2,Alicante Street,Residential,0.0,17.0,10.0,18.0,9.0,16.0,9.0,13.0,15.0,8.0,16.0,6.0,0.0
500013.0,District 3,Alicante Street,Residential,0.0,21.0,22.0,31.0,15.0,23.0,15.0,19.0,12.0,22.0,19.0,22.0,0.0
500014.0,District 4,Alicante Street,Residential,0.0,22.0,9.0,25.0,13.0,32.0,16.0,31.0,40.0,8.0,3.0,0.0,0.0
500015.0,District 4,Alicante Street,Residential,0.0,1.0,6.0,19.0,9.0,13.0,4.0,13.0,16.0,8.0,5.0,5.0,0.0
500016.0,,Moyot Street,Residential,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
500018.0,,Moyot Street,Residential,14.0,12.0,0.0,92.0,46.0,26.0,16.0,15.0,18.0,10.0,20.0,20.0,14.0
500019.0,District 4,Esparrago Street,Residential,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,34.0,17.0,18.0,29.0,0.0
500021.0,District 4,Villamor Street,Residential,0.0,7.0,0.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0
500022.0,District 4,Grafilo Street,Residential,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500023.0,District 4,Barsaga Street,Residential,0.0,0.0,0.0,26.0,13.0,19.0,26.0,29.0,0.0,57.0,24.0,15.0,0.0
500024.0,District 2,Balcavem Street,Residential,2.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0
500025.0,District 2,Balcavem Street,Residential,16.0,6.0,9.0,17.0,9.0,13.0,10.0,10.0,16.0,7.0,13.0,10.0,16.0
500026.0,District 2,Balcavem Street,Residential,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500027.0,District 2,Balcavem Street,Residential,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
500028.0,District 2,Balcavem Street,Residential,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0,0.0
500029.0,District 2,Balcavem Street,Residential,16.0,6.0,11.0,30.0,15.0,25.0,15.0,10.0,20.0,10.0,13.0,9.0,16.0
500030.0,District 2,Balcavem Street,Residential,32.0,13.0,27.0,28.0,14.0,22.0,25.0,17.0,30.0,20.0,33.0,0.0,32.0
500032.0,District 2,Balcavem Street,Residential,12.0,6.0,7.0,0.0,0.0,34.0,9.0,7.0,13.0,10.0,22.0,15.0,12.0
500033.0,District 2,Balcavem Street,Residential,0.0,0.0,10.0,12.0,6.0,3.0,0.0,7.0,11.0,8.0,11.0,15.0,0.0
500035.0,District 2,Jones Street,Residential,31.0,16.0,36.0,43.0,21.0,24.0,14.0,19.0,25.0,14.0,16.0,29.0,31.0
500036.0,District 2,Jones Street,Residential,14.0,6.0,8.0,16.0,8.0,1.0,17.0,6.0,8.0,5.0,9.0,14.0,14.0
500038.0,,Moyot Street,Residential,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,26.0,37.0,39.0,0.0
500039.0,,Moyot Street,Commercial,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
500040.0,,Moyot Street,Residential,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,32.0,53.0,0.0
500042.0,,Moyot Street,Residential,32.0,40.0,17.0,10.0,5.0,15.0,1.0,19.0,26.0,17.0,30.0,25.0,32.0
500043.0,District 3,Altarejos Street,Residential,0.0,9.0,2.0,4.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,3.0,0.0
500044.0,District 1,Bartolay Street,Residential,0.0,61.0,0.0,55.0,27.0,23.0,21.0,21.0,28.0,20.0,23.0,19.0,0.0
500047.0,District 2,Jones Street,Residential,12.0,14.0,15.0,24.0,12.0,14.0,8.0,11.0,14.0,9.0,11.0,10.0,12.0
500048.0,District 2,Jones Street,Residential,20.0,10.0,18.0,0.0,0.0,49.0,17.0,18.0,11.0,23.0,16.0,14.0,20.0
500049.0,District 2,Balcavem Street,Residential,28.0,12.0,14.0,29.0,15.0,22.0,14.0,14.0,25.0,11.0,19.0,18.0,28.0
500050.0,,Moyot Street,Residential,37.0,32.0,0.0,58.0,29.0,21.0,15.0,12.0,10.0,11.0,7.0,12.0,37.0
500051.0,,Moyot Street,Residential,0.0,0.0,0.0,0.0,0.0,146.0,0.0,6.0,9.0,2.0,10.0,14.0,0.0
