Control Number,District,Street,Connection Type,2023_JAN,2023_FEB,2023_MAR,2023_APR,2023_MAY,2023_JUN,2023_JUL,2023_AUG,2023_SEP,2023_OCT,2023_NOV,2023_DEC
0.0,,,,,,,,,,,,,,,
50964.0,,,,,,,,,,,,,,,
500002.0,District 4,Esparrago Street,Residential,21.0,10.0,0.0,15.0,7.0,22.0,68.0,53.0,13.0,20.0,30.0,30.0
500003.0,District 4,Esparrago Street,Residential,0.0,0.0,0.0,0.0,0.0,0.0,36.0,46.0,65.0,0.0,103.0,103.0
500004.0,District 4,Esparrago Street,Residential,25.0,11.0,0.0,22.0,25.0,17.0,23.0,53.0,16.0,27.0,30.0,30.0
500005.0,District 4,Esparrago Street,Residential,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
500007.0,District 4,Esparrago Street,Residential,0.0,0.0,0.0,0.0,2.0,1.0,0.0,12.0,20.0,3.0,107.0,106.0
500008.0,District 2,Alicante Street,Residential,19.0,9.0,0.0,9.0,13.0,19.0,18.0,29.0,15.0,15.0,19.0,18.0
500009.0,District 4,Alicante Street,Residential,0.0,0.0,0.0,0.0,0.0,0.0,36.0,27.0,0.0,0.0,0.0,0.0
500010.0,District 4,Alicante Street,Residential,7.0,8.0,0.0,10.0,12.0,11.0,12.0,20.0,12.0,13.0,19.0,18.0
500011.0,District 2,Alicante Street,Residential,10.0,11.0,0.0,6.0,35.0,17.0,0.0,21.0,10.0,17.0,12.0,11.0
500013.0,District 3,Alicante Street,Residential,10.0,1.0,0.0,43.0,31.0,20.0,23.0,43.0,31.0,18.0,29.0,28.0
500014.0,District 4,Alicante Street,Residential,19.0,23.0,0.0,35.0,30.0,7.0,19.0,68.0,18.0,115.0,7.0,6.0
500015.0,District 4,Alicante Street,Residential,10.0,5.0,0.0,7.0,55.0,22.0,15.0,15.0,0.0,0.0,0.0,0.0
500016.0,,Moyot Street,Residential,16.0,31.0,0.0,21.0,23.0,28.0,26.0,39.0,20.0,23.0,58.0,58.0
500018.0,,Moyot Street,Residential,34.0,34.0,0.0,43.0,44.0,54.0,36.0,93.0,37.0,43.0,50.0,50.0
500019.0,District 4,Esparrago Street,Residential,15.0,10.0,0.0,18.0,42.0,8.0,13.0,68.0,0.0,0.0,0.0,0.0
500021.0,District 4,Villamor Street,Residential,0.0,2.0,0.0,3.0,3.0,54.0,17.0,0.0,0.0,0.0,0.0,0.0
500022.0,District 4,Grafilo Street,Residential,16.0,11.0,0.0,17.0,18.0,13.0,17.0,38.0,8.0,17.0,18.0,18.0
500023.0,District 4,Barsaga Street,Residential,1.0,14.0,0.0,0.0,0.0,0.0,24.0,21.0,47.0,0.0,38.0,38.0
500024.0,District 2,Balcavem Street,Residential,2.0,3.0,0.0,9.0,17.0,16.0,17.0,28.0,16.0,20.0,21.0,21.0
500025.0,District 2,Balcavem Street,Residential,11.0,11.0,0.0,6.0,14.0,0.0,0.0,11.0,7.0,7.0,11.0,10.0
500026.0,District 2,Balcavem Street,Residential,14.0,15.0,0.0,14.0,55.0,36.0,19.0,30.0,15.0,22.0,26.0,25.0
500027.0,District 2,Balcavem Street,Residential,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500028.0,District 2,Balcavem Street,Residential,14.0,16.0,0.0,14.0,22.0,17.0,18.0,33.0,9.0,15.0,22.0,21.0
500029.0,District 2,Balcavem Street,Residential,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,19.0,23.0,21.0,20.0
500030.0,District 2,Balcavem Street,Residential,9.0,2.0,0.0,6.0,10.0,7.0,11.0,14.0,6.0,3.0,7.0,7.0
500032.0,District 2,Balcavem Street,Residential,1.0,5.0,0.0,4.0,6.0,4.0,9.0,14.0,3.0,9.0,5.0,4.0
500033.0,District 2,Balcavem Street,Residential,11.0,6.0,0.0,10.0,16.0,14.0,14.0,23.0,15.0,12.0,21.0,21.0
500035.0,District 2,Jones Street,Residential,6.0,9.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,104.0
500036.0,District 2,Jones Street,Residential,12.0,10.0,0.0,10.0,13.0,14.0,15.0,21.0,9.0,13.0,10.0,9.0
500038.0,,Moyot Street,Residential,20.0,13.0,0.0,28.0,34.0,43.0,25.0,67.0,25.0,34.0,34.0,33.0
500039.0,,Moyot Street,Commercial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,21.0,41.0,41.0
500040.0,,Moyot Street,Residential,26.0,70.0,0.0,30.0,29.0,45.0,27.0,74.0,33.0,45.0,55.0,54.0
500042.0,,Moyot Street,Residential,16.0,38.0,0.0,32.0,12.0,1.0,1.0,3.0,1.0,14.0,14.0,13.0
500043.0,District 3,Altarejos Street,Residential,3.0,1.0,0.0,2.0,0.0,1.0,1.0,3.0,1.0,2.0,3.0,2.0
500044.0,District 1,Bartolay Street,Residential,28.0,16.0,0.0,21.0,27.0,21.0,24.0,59.0,22.0,27.0,36.0,35.0
500047.0,District 2,Jones Street,Residential,6.0,10.0,0.0,11.0,7.0,8.0,7.0,10.0,4.0,18.0,12.0,12.0
500048.0,District 2,Jones Street,Residential,40.0,48.0,0.0,41.0,70.0,58.0,76.0,117.0,83.0,63.0,100.0,100.0
500049.0,District 2,Balcavem Street,Residential,14.0,19.0,0.0,12.0,24.0,19.0,21.0,42.0,18.0,24.0,30.0,29.0
500050.0,,Moyot Street,Residential,8.0,20.0,0.0,11.0,19.0,38.0,28.0,37.0,14.0,27.0,22.0,21.0
500051.0,,Moyot Street,Residential,5.0,6.0,0.0,4.0,4.0,12.0,17.0,14.0,6.0,8.0,10.0,9.0
500053.0,,Moyot Street,Commercial,55.0,54.0,0.0,36.0,33.0,74.0,65.0,86.0,22.0,38.0,54.0,54.0
500054.0,,Moyot Street,Residential,0.0,0.0,0.0,0.0,0.0,0.0,64.0,42.0,10.0,10.0,21.0,21.0
500055.0,District 3,Flores Street,Residential,21.0,40.0,0.0,19.0,21.0,50.0,34.0,61.0,19.0,34.0,0.0,0.0
